title,text,label
"Government to Provide Free Wi-Fi in Villages","The Indian government announced free Wi-Fi access in 100,000 rural villages by 2026.",1
"Alien Ship Lands in Mumbai","A viral post falsely claimed an alien spaceship landed near the Gateway of India.",0
"ISRO Successfully Tests Reusable Rocket","ISRO has successfully tested its reusable launch vehicle prototype in Sriharikota.",1
"Man Grows Extra Arm After Eating Street Food","A fake article claimed a man grew an extra arm after eating street food in Delhi.",0
"Chandrayaan-3 Finds Signs of Sulphur on Moon","ISRO confirmed the presence of sulphur on the Moon’s surface during the Chandrayaan-3 mission.",1
"Government Announces Free Education for All Girls","The Indian government announced free education schemes for girls up to graduation.",1
"Bollywood Star Marries Alien","A fake report circulated online claiming a Bollywood actor married an alien from Mars.",0
"WHO Approves India-Made COVID Vaccine","WHO officially approved India’s Covaxin for global emergency use.",1
"Facebook To Charge Rs 500 Monthly","A viral message falsely claims Facebook will charge users Rs 500 per month.",0
"India Launches First Hydrogen Train","Indian Railways launched the country’s first green hydrogen-powered train.",1
"Man Says Earth Is Flat, Builds Rocket To Prove It","A conspiracy theorist from Chennai claims the Earth is flat and plans to prove it using a homemade rocket.",0
"Government Plans Electric Vehicle Subsidy","Centre announces new subsidy policy to promote electric vehicle manufacturing in India.",1
"Scientists Say Earth Will Explode Next Week","A viral hoax falsely claims scientists predicted Earth’s destruction next week.",0
"Google Opens New Office In Hyderabad","Google inaugurated its largest office campus outside the US in Hyderabad.",1
"Astrologer Predicts End Of Internet","An astrologer falsely claims the world will lose internet connectivity forever in 2025.",0
"India Develops New Cancer Drug","Indian scientists developed a new affordable cancer drug with promising results.",1
"Man Arrested For Selling Fake Currency With Gandhi Emoji","Police arrested a man for selling fake currency printed with emojis.",0
"Railways Introduces AI Ticket Checking","Indian Railways deployed AI-based systems for faster ticket verification.",1
"Temple In Varanasi Floats In Air","Fake news spread claiming a temple in Varanasi was floating in the air.",0
"Kerala Tops Education Index 2025","Kerala ranked first in India’s National Education Index for 2025.",1
"Government to Ban Oxygen Cylinders","A fake report claimed the government planned to ban oxygen cylinders.",0
"Delhi Metro Introduces Women-Only Coaches","Delhi Metro announced the addition of women-only coaches for safety.",1
"Aliens Seen At Taj Mahal","Hoax photos went viral showing aliens visiting the Taj Mahal.",0
"RBI Introduces Digital Rupee","The Reserve Bank of India launched pilot testing of India’s Digital Rupee.",1
"Actor Says Sun Rises In West","A fake video claimed a Bollywood actor said the sun rises in the west.",0
"India Wins Gold in Olympics Hockey","India’s men’s hockey team won gold at the 2024 Paris Olympics.",1
"Rainwater Can Cure Cancer","A fake WhatsApp message claimed drinking rainwater can cure cancer.",0
"Chennai Startup Launches AI Robot Farmer","An Indian startup has developed an AI-powered robot that assists in farming.",1
"Man Turns Invisible After Yoga","A viral story falsely claimed a man became invisible after 10 years of yoga.",0
"New Expressway Connects Delhi and Lucknow","India inaugurated a new six-lane expressway between Delhi and Lucknow.",1
"School Teaches Students To Fly Without Planes","A fake story claimed a Bengaluru school teaches students to fly.",0
"India Overtakes UK As Fifth Largest Economy","IMF reported that India has surpassed the UK to become the fifth-largest global economy.",1
"Minister Claims Eating Papaya Prevents Earthquakes","A false claim spread that eating papaya can prevent earthquakes.",0
"ISRO To Send Indian Astronauts To Moon","ISRO announced plans for its first manned lunar mission by 2030.",1
"Goa Beaches Covered In Gold Dust","A fake viral video showed Goa beaches covered in gold dust.",0
"UP Government Launches Solar Rooftop Scheme","Uttar Pradesh launched a new solar rooftop scheme for households.",1
"Man Builds House From Plastic Waste","An Indian engineer constructed a house entirely from recycled plastic waste.",1
"Government Plans Free Water Supply In Rural Areas","The Centre announced a new scheme for free water supply in rural households.",1
"Aliens Hack Indian Satellites","Fake news spread claiming aliens had hacked Indian satellites.",0
"India Records Highest Wheat Production","India achieved record-breaking wheat production this year.",1
"Man Claims He Can Fly Over Himalayas","A social media user falsely claimed he can fly unaided over the Himalayas.",0
"Tata Motors Launches New Electric Car","Tata Motors unveiled its latest affordable EV for Indian roads.",1
"Fake Doctor Treats Patients With Magic","Police arrested a fake doctor treating patients using 'magic powder'.",0

